id,BuyingPower,NewChain,HAFT,CANBO_001,CANBO_002,CANBO_003,CANBO_004,CANBO_005,V1_001,O.K_001,O.K_002,O.K_003,O.K_004,V1_002,V1_003,V1_004,O.K_005,O.K_006,O.K_007,REHAH_001,WINMAK_001,WINMAK_002,REHAH_002,DAILYMAK_001,DAILYMAK_002,PopDenc,ChainDenc
"283","53","1",1185.00793183173,1171.99142918743,1369.57615264825,1985.59100377348,2153.74718397448,2567.49695592414,121.235046957407,2244.76971216959,1581.87195949016,2193.78717457603,2723.63758087421,2814.57655411872,1310.72197326453,2599.25192718991,876.117038015812,1896.88028786369,2715.4641110892,1522.98711802682,1827.92903215068,199.145867946487,3355.73300174377,949.448599817235,2541.61741392173,0.65,0.2
"284","58","0",1641.97053023764,1786.8865439991,1472.07137335936,1073.82338940123,968.80756978457,347.69284326178,2912.83682158915,778.688034834024,1422.57946173132,641.01848378178,913.680403966673,48.905129431579,1521.10133395871,894.112047088121,2087.57773308901,1499.17681895386,152.322599853767,1477.07304639338,1526.64132985687,2679.21978532291,555.993027877424,2000.1918570305,1647.25317285052,0.65,0.98
"285","49","0",1279.51294031925,1245.32369893326,1465.84343076151,2064.06579268447,2253.14467479016,2656.29925283718,45.2143541147286,2327.62281950391,1657.78080285327,2287.90041648279,2823.42903518989,2906.31356609241,1406.00410597831,2698.98464923634,942.873850950452,1996.29611490072,2806.34640971204,1598.35387614475,1927.34407462944,258.10007385919,3449.96525765007,1019.68109740828,2639.43421391535,0.65,0.2
"286","42","0",1374.80093772909,1322.16224938302,1562.58432510319,2144.33631643439,2352.59634996804,2745.8742664248,96.9817088918807,2411.77934149829,1736.13656459339,2382.49640776068,2923.23724955369,2998.58142597826,1501.90468613238,2798.7390644339,1015.11370423105,2095.77102821316,2897.83189033112,1676.30401559839,2026.82029081785,337.026598888058,3544.51565457581,1094.55979034127,2737.41146354191,0.3,0.2
"287","61","0",1551.96405119422,1688.14877602048,1385.48475444952,974.940390226633,925.331476699897,253.755781080947,2819.85451707861,681.768521395323,1322.59837647821,558.844496728444,931.653541430132,82.6186150309944,1432.55730653986,898.588018712824,1989.73017577843,1454.02559882387,68.2180025491144,1377.173170166,1477.69425093871,2585.49611097726,655.790878959278,1902.28277817865,1643.12298994713,0.65,0.98
"288","42","0",1470.71973297089,1401.93066255734,1659.71601070433,2226.20832916791,2452.09560798777,2836.14877485303,191.784435904793,2497.10749246847,1816.62263822474,2477.51984401864,3023.06055541826,3091.332593068,1598.31238576382,2898.5129244694,1091.74871031045,2195.29698685751,2989.86517604928,1756.49362427131,2126.34908621081,424.938707998159,3639.35938875339,1173.19538275027,2835.53252215569,0.3,0.2
"289","53","0",1463.26090744212,1589.57350838962,1300.82925458508,876.319416823916,891.012583924849,167.058448074788,2727.37154565715,585.897971981883,1222.62646688409,483.450614830864,959.770595783782,176.846819570502,1345.62493838111,914.056529772133,1892.11163505689,1414.51921300594,78.2308011183777,1277.29478574261,1434.06474906415,2492.26333265031,755.651990698616,1804.60714721145,1645.07694185081,0.65,0.98
"290","52","0",1290.83585418506,1393.04839819058,1139.02537759589,680.319181578182,853.977814050761,122.417688036802,2544.12112845066,400.321375454591,1022.72092118854,369.59933702996,1042.86462431233,374.455884271141,1178.0166075875,975.510968724295,1697.719528173,1354.34761442073,262.863611539147,1077.62637883541,1364.73772296695,2307.50816509364,955.484635074758,1610.12606585368,1667.08506259867,0.65,0.98
"291","52","0",1207.82525688003,1295.19345721137,1063.02028286961,583.357260869611,852.635732495072,196.33418417666,2453.48182034844,314.276703092241,922.795574105131,343.606612932303,1095.80671555137,474.036539436899,1098.29583341197,1019.65927151116,1601.04855898519,1334.53218179886,361.397452831361,977.854397352315,1339.96827748927,2216.12837449131,1055.43524979248,1513.43244112044,1686.90309901724,0.65,0.2
"292","67","0",1517.56326201791,1906.68957025695,1317.9258818874,1569.67823308456,484.945318117563,1151.36401863479,2714.81800056096,1402.90483059729,1712.49741269264,854.102771694745,149.146168508689,1040.9402150763,1392.91072649483,106.775106590389,2123.7401440594,783.274173620408,1063.2045274827,1741.57222977409,843.629328584091,2517.52321477159,1180.41256420823,2049.59208862478,653.387263355383,0.8,0.2
"293","55","0",1127.58207632087,1197.69912242611,991.292221253599,487.639241370913,862.967031284934,286.571021505754,2363.60077671314,239.368572822973,822.897380202658,345.748694774233,1155.00341961035,573.77598704706,1022.15418803907,1071.35578615248,1504.81767327393,1322.00970187929,460.579822491714,878.142739710513,1322.32210229491,2125.52837456572,1155.40081579477,1417.20302278916,1712.34527401515,0.65,0.2
"294","66","0",1419.69133814325,1814.48280030036,1220.45178455829,1503.76251132335,390.92490361543,1126.56142408528,2614.80363698059,1351.5158383316,1630.39302601154,794.288348960274,235.395660846679,1043.06784340686,1295.63556036586,139.373928927834,2027.63841985159,692.948724423214,1054.44547332288,1657.6896226182,751.436748920261,2417.53898019129,1230.57186807232,1954.15966815926,642.903829370156,0.8,0.2
"295","51","0",1050.74053110973,1100.66122313109,924.836875559464,394.072572824879,884.562781383052,381.724505657863,2274.56789024836,189.313498831191,723.037592939059,375.544444584638,1219.54427519854,673.603687566435,950.452242155216,1129.56461191945,1409.11703633251,1316.98822235788,560.066274326261,778.514583795603,1312.08662815318,2035.81227817399,1255.37775657257,1321.53922017166,1743.1653430295,0.8,0.2
"296","90","0",1322.14356635294,1723.14985636834,1123.42839335916,1441.77962540217,300.811315488366,1110.25088441089,2514.79109395347,1305.78061488879,1550.39682708741,743.176471912017,329.533745541128,1054.72240828497,1198.81507688049,217.862567894283,1931.9362852327,605.683327273832,1055.14050529299,1575.69375546856,661.527616574581,2317.55932012547,1286.56723388671,1859.21143819603,647.881618806022,0.8,0.2
"297","94","0",1224.99738385784,1632.83737554724,1026.98345300111,1384.25797507499,219.470854931267,1102.80925300613,2414.78059622457,1266.31189500393,1472.85236459026,702.668768888997,426.366848255119,1075.59426454692,1102.56906118226,309.059760342371,1836.69620188667,523.011948887903,1065.27111533012,1495.89491698511,574.974118094696,2217.58485170712,1347.67139502283,1764.82554730868,667.975061835403,0.8,0.2
"298","75","0",1128.3565170982,1543.72446630853,931.296689823577,1331.77574813114,160.817595397409,1104.41581914704,2314.77240736441,1233.71125378103,1398.16762636905,674.677971487363,524.404147051979,1105.16130447231,1007.06223069347,404.458398070516,1741.99395464168,447.488038631246,1084.57292919882,1418.6638970191,493.544858562089,2117.6163085652,1413.22182979612,1671.09728115328,701.887170663434,0.65,0.2
"299","70","0",1032.36288220614,1456.0313935717,836.628282482521,1284.95057737413,153.531654025123,1115.03146965176,2214.76683854698,1208.53462253192,1326.82560456728,660.796610545998,623.077477258882,1142.74879664446,912.526704727138,501.667292308213,1647.92226850619,383.359392550111,1112.56871583644,1344.44328776027,420.229286339534,2017.65456968013,1482.6289130397,1578.14381370252,747.740152780833,0.8,0.2
"300","75","0",796.656256151077,720.757368687845,739.001582470975,159.517927978293,1064.68594459683,774.741335768106,1929.25100342555,387.50071028168,324.691581172438,653.565228702229,1516.725893552,1073.30423462023,733.31356347165,1410.14752722324,1034.55186156102,1371.71400803423,959.157947532455,382.144378316447,1346.79682388927,1688.58613996135,1655.35800065591,947.955834222534,1914.35879791549,0.65,0.2
"301","63","0",937.21537327167,1370.03082496513,743.367393191509,1244.42121618722,203.215300417869,1134.40331076325,2114.76425978067,1191.25280132518,1259.3944978447,661.912968174813,722.126153590483,1187.59543812631,819.298772437828,599.806933448827,1554.59561492055,337.191531429954,1148.62294423814,1273.75943543396,360.018897157237,1917.70069721822,1555.37643109489,1486.11053633429,803.492304383131,0.8,0.2
"302","74","0",753.226123154683,629.712026395772,720.319630620165,207.41542444209,1127.55014526541,874.007278234796,1846.38406512218,478.302285751033,226.101647688869,740.751605336103,1598.05715106079,1173.27700259155,704.544621979818,1488.85960984871,944.196108781524,1403.00450046371,1059.05540044217,284.708075029351,1373.67072228807,1605.63324428024,1755.36497806678,858.309909845211,1967.57276657523,0.65,0.2
"303","64","1",843.200465232251,1286.06233995003,652.118171010762,1210.82003835777,281.13299617405,1162.0935313599,2014.76511202975,1182.21206160057,1196.5356866459,677.952955250737,821.414404145283,1238.91316978581,727.881034949474,698.485109127602,1462.15665809102,316.933198693057,1192.00461239999,1207.23372951834,320.389418352784,1817.75598438327,1631.01746926281,1395.17955763318,867.236552127366,0.8,0.2
"304","75","0",721.146856266139,541.84692330198,715.270711187432,283.920993414396,1195.4903880774,973.431082746495,1765.29703482199,572.192387598194,129.746211281493,830.83881948712,1681.40733738963,1273.2598428852,689.225838707217,1570.00146003539,855.99639991448,1440.57582629756,1158.97690867566,189.994324783131,1407.15869676937,1524.73207380924,1855.37517656107,771.223926124326,2024.33454154172,0.65,0.2
